cand_id,rec_id,job_role,source,score,application,screening,interview,offer,hired
C0034,R3,HR Specialist,LinkedIn,65,1,1,1,0,0
C0035,R1,Marketing Associate,LinkedIn,75,1,1,1,0,0
C0036,R2,Data Analyst,Careers page,62,1,0,0,0,0
C0037,R3,HR Specialist,Job board,61,1,0,0,0,0
C0038,R1,Software Engineer,LinkedIn,64,1,1,0,0,0
C0039,R4,Software Engineer,Job board,36,1,0,0,0,0
C0040,R1,Marketing Associate,Careers page,61,1,1,0,0,0
C0041,R1,Software Engineer,Careers page,80,1,1,1,0,0
C0042,R4,Data Analyst,LinkedIn,76,1,1,0,0,0
C0043,R4,Software Engineer,Careers page,63,1,1,0,0,0
C0044,R4,Software Engineer,Careers page,51,1,1,1,0,0
C0045,R1,HR Specialist,LinkedIn,73,1,1,0,0,0
C0046,R1,Marketing Associate,Careers page,36,1,0,0,0,0
C0047,R1,Data Analyst,Careers page,71,1,1,0,0,0
C0048,R2,Marketing Associate,LinkedIn,51,1,1,1,0,0
C0049,R4,HR Specialist,LinkedIn,77,1,1,0,0,0
C0050,R5,Data Analyst,Careers page,63,1,0,0,0,0
C0051,R1,HR Specialist,LinkedIn,48,1,1,0,0,0
C0052,R4,Data Analyst,LinkedIn,78,1,1,0,0,0
C0053,R3,HR Specialist,Careers page,71,1,1,1,0,0
C0054,R1,HR Specialist,Careers page,70,1,0,0,0,0
C0055,R2,Software Engineer,LinkedIn,88,1,1,1,0,0
C0056,R1,HR Specialist,LinkedIn,82,1,1,1,1,1
C0057,R1,HR Specialist,Job board,68,1,1,0,0,0
C0058,R3,Data Analyst,Careers page,61,1,1,0,0,0
C0059,R5,HR Specialist,LinkedIn,77,1,1,1,0,0
C0060,R4,Data Analyst,Job board,61,1,0,0,0,0
C0061,R3,Data Analyst,LinkedIn,80,1,0,0,0,0
C0062,R1,Software Engineer,Careers page,62,1,0,0,0,0
C0063,R4,HR Specialist,LinkedIn,85,1,1,0,0,0
C0064,R4,HR Specialist,LinkedIn,92,1,1,1,0,0
C0065,R3,HR Specialist,LinkedIn,77,1,1,1,1,0
C0066,R4,Software Engineer,Careers page,86,1,1,1,0,0
C0067,R3,Data Analyst,LinkedIn,74,1,1,1,0,0
C0068,R3,Data Analyst,LinkedIn,62,1,1,1,0,0
C0069,R3,Data Analyst,Job board,65,1,1,1,1,1
C0070,R4,Software Engineer,Job board,61,1,0,0,0,0
C0071,R3,HR Specialist,Job board,48,1,0,0,0,0
C0072,R2,HR Specialist,Job board,57,1,0,0,0,0
C0073,R3,Data Analyst,Job board,72,1,1,0,0,0
C0074,R1,HR Specialist,Careers page,41,1,1,1,0,0
C0075,R2,Data Analyst,LinkedIn,71,1,1,0,0,0
C0076,R1,Data Analyst,LinkedIn,100,1,1,1,1,1
C0077,R4,Data Analyst,Careers page,50,1,1,1,0,0
C0078,R2,Data Analyst,Job board,71,1,1,0,0,0
C0079,R4,Data Analyst,Careers page,36,1,0,0,0,0
C0080,R1,Software Engineer,LinkedIn,52,1,0,0,0,0
C0081,R4,Software Engineer,LinkedIn,44,1,1,0,0,0
C0082,R3,Data Analyst,Job board,59,1,0,0,0,0
C0083,R4,Marketing Associate,Careers page,52,1,1,0,0,0
C0084,R3,Data Analyst,LinkedIn,83,1,1,1,1,1
C0085,R1,HR Specialist,LinkedIn,78,1,1,1,0,0
C0086,R4,HR Specialist,LinkedIn,96,1,1,0,0,0
C0087,R5,Marketing Associate,LinkedIn,56,1,1,1,0,0
C0088,R5,Software Engineer,LinkedIn,88,1,1,1,1,1
C0089,R5,HR Specialist,LinkedIn,71,1,1,1,1,0
C0090,R1,Data Analyst,LinkedIn,60,1,0,0,0,0
C0091,R1,HR Specialist,LinkedIn,95,1,1,1,0,0
C0092,R3,Software Engineer,LinkedIn,46,1,0,0,0,0
C0093,R4,HR Specialist,Careers page,42,1,1,1,0,0
C0094,R3,Data Analyst,Job board,44,1,0,0,0,0
C0095,R4,Data Analyst,Job board,36,1,0,0,0,0
C0096,R1,Software Engineer,LinkedIn,55,1,1,1,1,1
C0097,R3,HR Specialist,Job board,72,1,1,0,0,0
C0098,R1,Software Engineer,Job board,59,1,0,0,0,0
C0099,R2,Software Engineer,LinkedIn,68,1,1,0,0,0
C0100,R2,Data Analyst,LinkedIn,52,1,1,1,0,0
C0101,R2,Data Analyst,Job board,22,1,0,0,0,0
C0102,R4,HR Specialist,Job board,49,1,1,1,0,0
C0103,R2,Data Analyst,Job board,45,1,1,1,0,0
C0104,R5,Software Engineer,LinkedIn,77,1,1,1,0,0
C0105,R2,Data Analyst,Careers page,63,1,0,0,0,0
C0106,R5,Data Analyst,LinkedIn,58,1,1,0,0,0
C0107,R5,HR Specialist,LinkedIn,78,1,1,0,0,0
C0108,R2,Data Analyst,Job board,59,1,1,1,1,1
C0109,R4,HR Specialist,Careers page,44,1,1,0,0,0
C0110,R1,HR Specialist,Job board,54,1,1,0,0,0
C0111,R5,Software Engineer,LinkedIn,68,1,1,0,0,0
C0112,R4,Data Analyst,LinkedIn,83,1,1,0,0,0
C0113,R1,Data Analyst,Careers page,54,1,1,1,0,0
C0114,R5,HR Specialist,LinkedIn,84,1,1,0,0,0
C0115,R3,HR Specialist,LinkedIn,76,1,1,0,0,0
C0116,R1,Software Engineer,LinkedIn,77,1,1,1,0,0
C0117,R2,Data Analyst,Job board,49,1,1,1,0,0
C0118,R5,HR Specialist,Careers page,66,1,1,1,0,0
C0119,R2,HR Specialist,Job board,48,1,0,0,0,0
C0120,R4,Marketing Associate,LinkedIn,68,1,0,0,0,0
C0121,R3,Marketing Associate,LinkedIn,66,1,1,1,1,1
C0122,R4,Data Analyst,Careers page,46,1,0,0,0,0
C0123,R4,Data Analyst,Careers page,52,1,0,0,0,0
C0124,R1,HR Specialist,LinkedIn,61,1,1,0,0,0
C0125,R4,Software Engineer,Job board,52,1,1,1,1,1
C0126,R5,HR Specialist,LinkedIn,62,1,0,0,0,0
C0127,R1,Data Analyst,Job board,85,1,1,1,1,1
C0128,R1,Data Analyst,Careers page,77,1,1,1,0,0
C0129,R1,Data Analyst,Job board,63,1,1,1,0,0
C0130,R3,Data Analyst,Careers page,68,1,1,0,0,0
C0131,R2,HR Specialist,Careers page,53,1,0,0,0,0
C0132,R5,Software Engineer,LinkedIn,73,1,1,1,1,0
C0133,R3,Data Analyst,Job board,46,1,0,0,0,0
C0134,R3,HR Specialist,LinkedIn,86,1,1,0,0,0
C0135,R2,Data Analyst,Careers page,65,1,1,0,0,0
C0136,R3,Data Analyst,Job board,62,1,1,1,0,0
C0137,R5,Software Engineer,LinkedIn,66,1,1,0,0,0
C0138,R3,HR Specialist,Careers page,61,1,1,1,0,0
C0139,R5,HR Specialist,Job board,55,1,1,1,0,0
C0140,R4,HR Specialist,LinkedIn,59,1,1,1,1,0
C0141,R4,Data Analyst,Job board,43,1,1,1,1,0
C0142,R4,Marketing Associate,LinkedIn,83,1,1,0,0,0
C0143,R1,Data Analyst,Careers page,73,1,1,1,0,0
C0144,R1,Data Analyst,LinkedIn,58,1,0,0,0,0
C0145,R5,Marketing Associate,LinkedIn,72,1,1,0,0,0
C0146,R1,Software Engineer,LinkedIn,62,1,1,1,0,0
C0147,R1,Marketing Associate,Job board,49,1,0,0,0,0
C0148,R1,Data Analyst,LinkedIn,64,1,1,0,0,0
C0149,R4,HR Specialist,LinkedIn,65,1,1,1,1,1
C0150,R3,Data Analyst,LinkedIn,62,1,1,0,0,0
C0151,R5,Software Engineer,Careers page,76,1,0,0,0,0
C0152,R2,Software Engineer,LinkedIn,45,1,0,0,0,0
C0153,R4,Software Engineer,LinkedIn,62,1,1,0,0,0
C0154,R4,Data Analyst,LinkedIn,74,1,1,1,0,0
C0155,R1,Data Analyst,Careers page,68,1,1,0,0,0
C0156,R4,HR Specialist,LinkedIn,52,1,0,0,0,0
C0157,R2,Data Analyst,Job board,72,1,1,0,0,0
C0158,R1,Software Engineer,LinkedIn,74,1,1,1,0,0
C0159,R4,Data Analyst,LinkedIn,67,1,0,0,0,0
C0160,R1,HR Specialist,Job board,71,1,1,1,0,0
C0161,R2,Data Analyst,Careers page,69,1,1,0,0,0
C0162,R4,Data Analyst,LinkedIn,67,1,0,0,0,0
C0163,R3,Software Engineer,LinkedIn,79,1,1,1,0,0
C0164,R4,Data Analyst,LinkedIn,42,1,1,0,0,0
C0165,R4,Data Analyst,Job board,51,1,0,0,0,0
C0166,R2,HR Specialist,LinkedIn,72,1,1,1,0,0
C0167,R3,HR Specialist,Job board,46,1,1,1,1,1
C0168,R1,HR Specialist,Job board,61,1,0,0,0,0
C0169,R4,HR Specialist,Job board,59,1,1,0,0,0
C0170,R4,Data Analyst,LinkedIn,75,1,0,0,0,0
C0171,R2,Data Analyst,LinkedIn,64,1,0,0,0,0
C0172,R1,Data Analyst,LinkedIn,35,1,0,0,0,0
C0173,R5,Software Engineer,LinkedIn,77,1,1,1,0,0
C0174,R3,Data Analyst,LinkedIn,59,1,1,1,0,0
C0175,R3,Data Analyst,LinkedIn,58,1,0,0,0,0
C0176,R2,Data Analyst,LinkedIn,69,1,0,0,0,0
C0177,R4,HR Specialist,LinkedIn,66,1,0,0,0,0
C0178,R2,Software Engineer,LinkedIn,55,1,0,0,0,0
C0179,R5,Data Analyst,Job board,73,1,1,1,0,0
C0180,R2,HR Specialist,LinkedIn,70,1,0,0,0,0
C0181,R5,HR Specialist,LinkedIn,77,1,1,1,0,0
C0182,R4,Data Analyst,Job board,66,1,0,0,0,0
C0183,R3,Marketing Associate,LinkedIn,54,1,0,0,0,0
C0184,R4,Marketing Associate,LinkedIn,80,1,1,1,0,0
C0185,R2,Data Analyst,Careers page,62,1,1,0,0,0
C0186,R2,Software Engineer,Careers page,70,1,1,0,0,0
C0187,R4,Data Analyst,Job board,55,1,0,0,0,0
C0188,R2,Marketing Associate,LinkedIn,72,1,1,0,0,0
C0189,R5,Data Analyst,Careers page,52,1,0,0,0,0
C0190,R5,Marketing Associate,Job board,31,1,0,0,0,0
C0191,R4,Data Analyst,Careers page,78,1,1,1,0,0
C0192,R4,Data Analyst,LinkedIn,65,1,1,1,0,0
C0193,R5,Data Analyst,LinkedIn,78,1,1,0,0,0
C0194,R2,HR Specialist,Job board,61,1,1,0,0,0
C0195,R5,HR Specialist,LinkedIn,50,1,1,0,0,0
C0196,R2,Marketing Associate,Job board,69,1,0,0,0,0
C0197,R4,Data Analyst,LinkedIn,68,1,0,0,0,0
C0198,R3,Software Engineer,Careers page,61,1,1,1,0,0
C0199,R1,HR Specialist,Job board,33,1,0,0,0,0
C0200,R2,Marketing Associate,Careers page,73,1,1,1,1,1
C0201,R1,HR Specialist,Careers page,73,1,1,1,1,1
C0202,R5,Software Engineer,LinkedIn,99,1,1,1,1,0
C0203,R2,Data Analyst,LinkedIn,76,1,1,1,0,0
C0204,R2,HR Specialist,LinkedIn,58,1,1,1,1,0
C0205,R4,Data Analyst,LinkedIn,56,1,1,0,0,0
C0206,R5,Marketing Associate,LinkedIn,59,1,1,0,0,0
C0207,R4,Software Engineer,Careers page,58,1,0,0,0,0
C0208,R4,Software Engineer,Careers page,74,1,1,1,0,0
C0209,R1,Software Engineer,LinkedIn,70,1,0,0,0,0
C0210,R1,HR Specialist,Job board,53,1,1,0,0,0
C0211,R2,Marketing Associate,Careers page,78,1,1,0,0,0
C0212,R4,HR Specialist,LinkedIn,90,1,1,1,0,0
C0213,R1,HR Specialist,Job board,47,1,1,1,1,0
C0214,R3,Data Analyst,Job board,49,1,1,1,1,0
C0215,R1,Data Analyst,LinkedIn,76,1,1,1,0,0
C0216,R3,Marketing Associate,LinkedIn,41,1,1,0,0,0
C0217,R4,Data Analyst,Job board,35,1,0,0,0,0
C0218,R4,Data Analyst,Careers page,47,1,1,0,0,0
C0219,R5,HR Specialist,Job board,46,1,0,0,0,0
C0220,R5,HR Specialist,Careers page,86,1,1,1,0,0
C0221,R4,Marketing Associate,LinkedIn,65,1,0,0,0,0
C0222,R5,Data Analyst,LinkedIn,88,1,1,1,0,0
C0223,R3,HR Specialist,LinkedIn,73,1,1,1,1,1
C0224,R3,Marketing Associate,Job board,61,1,0,0,0,0
C0225,R1,Software Engineer,LinkedIn,85,1,1,0,0,0
C0226,R4,Marketing Associate,Job board,66,1,0,0,0,0
C0227,R2,Software Engineer,LinkedIn,77,1,1,1,0,0
C0228,R2,Data Analyst,Careers page,72,1,0,0,0,0
C0229,R3,Data Analyst,Job board,57,1,0,0,0,0
C0230,R5,Data Analyst,LinkedIn,57,1,1,1,1,0
C0231,R2,HR Specialist,Careers page,48,1,0,0,0,0
C0232,R4,Software Engineer,Job board,54,1,0,0,0,0
C0233,R2,Marketing Associate,Careers page,52,1,0,0,0,0
C0234,R1,HR Specialist,LinkedIn,52,1,1,1,0,0
C0235,R4,Software Engineer,LinkedIn,66,1,0,0,0,0
C0236,R4,HR Specialist,LinkedIn,73,1,1,1,1,0
C0237,R1,HR Specialist,Job board,32,1,0,0,0,0
C0238,R5,Software Engineer,Job board,41,1,1,0,0,0
C0239,R1,HR Specialist,LinkedIn,59,1,1,0,0,0
C0240,R3,Software Engineer,LinkedIn,76,1,1,1,1,0
C0241,R2,Data Analyst,Careers page,59,1,0,0,0,0
C0242,R3,Data Analyst,LinkedIn,63,1,1,0,0,0
C0243,R1,Data Analyst,Job board,39,1,0,0,0,0
C0244,R2,Data Analyst,LinkedIn,82,1,1,1,0,0
C0245,R4,Marketing Associate,Careers page,34,1,0,0,0,0
C0246,R3,Software Engineer,Job board,38,1,0,0,0,0
C0247,R4,Data Analyst,LinkedIn,95,1,1,1,0,0
C0248,R5,Data Analyst,Job board,61,1,0,0,0,0
C0249,R5,Data Analyst,Job board,53,1,1,1,1,0
C0250,R3,HR Specialist,LinkedIn,77,1,1,0,0,0
C0251,R4,Software Engineer,Job board,47,1,0,0,0,0
C0252,R1,Data Analyst,LinkedIn,58,1,0,0,0,0
C0253,R2,Data Analyst,Careers page,68,1,1,1,0,0
C0254,R4,HR Specialist,LinkedIn,44,1,0,0,0,0
C0255,R2,Data Analyst,LinkedIn,77,1,1,0,0,0
C0256,R3,HR Specialist,Job board,64,1,0,0,0,0
C0257,R1,Data Analyst,Careers page,67,1,0,0,0,0
C0258,R4,Marketing Associate,Job board,60,1,0,0,0,0
C0259,R2,Software Engineer,LinkedIn,76,1,1,1,0,0
C0260,R5,HR Specialist,Job board,48,1,0,0,0,0
C0261,R5,HR Specialist,LinkedIn,68,1,1,0,0,0
C0262,R5,Data Analyst,LinkedIn,66,1,1,0,0,0
C0263,R3,HR Specialist,Job board,78,1,1,1,0,0
C0264,R5,Data Analyst,LinkedIn,78,1,1,0,0,0
C0265,R2,HR Specialist,LinkedIn,84,1,1,0,0,0
C0266,R2,HR Specialist,LinkedIn,81,1,1,1,1,1
C0267,R4,Software Engineer,LinkedIn,89,1,0,0,0,0
C0268,R4,Data Analyst,LinkedIn,82,1,1,0,0,0
C0269,R1,Software Engineer,Careers page,54,1,1,0,0,0
C0270,R2,HR Specialist,LinkedIn,68,1,1,1,0,0
C0271,R5,Data Analyst,Careers page,57,1,1,1,0,0
C0272,R1,Data Analyst,LinkedIn,57,1,1,0,0,0
C0273,R1,HR Specialist,Careers page,55,1,1,0,0,0
C0274,R1,HR Specialist,LinkedIn,66,1,1,0,0,0
C0275,R3,HR Specialist,LinkedIn,47,1,0,0,0,0
C0276,R3,Software Engineer,LinkedIn,56,1,1,0,0,0
C0277,R5,Software Engineer,Job board,73,1,1,0,0,0
C0278,R2,Data Analyst,LinkedIn,85,1,1,1,1,1
C0279,R1,Data Analyst,Job board,44,1,1,0,0,0
C0280,R3,Data Analyst,LinkedIn,87,1,1,1,0,0
C0281,R3,Data Analyst,LinkedIn,67,1,1,0,0,0
C0282,R1,Software Engineer,LinkedIn,67,1,1,1,1,1
C0283,R4,Data Analyst,Job board,70,1,1,0,0,0
C0284,R1,Marketing Associate,Job board,66,1,1,0,0,0
C0285,R1,Software Engineer,LinkedIn,57,1,0,0,0,0
C0286,R4,HR Specialist,LinkedIn,64,1,1,0,0,0
C0287,R1,Software Engineer,LinkedIn,77,1,1,1,1,1
C0288,R1,Data Analyst,LinkedIn,55,1,0,0,0,0
C0289,R1,Software Engineer,Job board,60,1,1,0,0,0
C0290,R3,Marketing Associate,LinkedIn,62,1,0,0,0,0
C0291,R4,Data Analyst,LinkedIn,77,1,1,1,0,0
C0292,R1,HR Specialist,Job board,64,1,0,0,0,0
C0293,R1,HR Specialist,LinkedIn,70,1,1,0,0,0
C0294,R5,HR Specialist,LinkedIn,68,1,0,0,0,0
C0295,R3,Software Engineer,LinkedIn,99,1,1,0,0,0
C0296,R3,HR Specialist,Careers page,99,1,0,0,0,0
C0297,R5,HR Specialist,Job board,62,1,1,0,0,0
C0298,R1,HR Specialist,Job board,27,1,0,0,0,0
C0299,R1,Data Analyst,Job board,53,1,1,0,0,0
C0300,R3,Software Engineer,Job board,54,1,1,1,0,0
C0301,R3,Data Analyst,Job board,49,1,1,0,0,0
C0302,R1,HR Specialist,Careers page,51,1,1,0,0,0
C0303,R3,Data Analyst,LinkedIn,80,1,1,0,0,0
C0304,R3,Data Analyst,LinkedIn,72,1,1,0,0,0
C0305,R2,Software Engineer,Careers page,65,1,1,1,1,1
C0306,R2,HR Specialist,LinkedIn,64,1,0,0,0,0
C0307,R1,Data Analyst,Careers page,46,1,1,0,0,0
C0308,R1,Marketing Associate,LinkedIn,88,1,1,1,0,0
C0309,R2,HR Specialist,Job board,54,1,0,0,0,0
C0310,R2,Marketing Associate,Job board,38,1,0,0,0,0
C0311,R4,Marketing Associate,Job board,50,1,1,1,0,0
C0312,R2,Data Analyst,LinkedIn,81,1,1,1,1,1
C0313,R3,Software Engineer,Job board,52,1,1,1,0,0
C0314,R1,Software Engineer,LinkedIn,65,1,1,0,0,0
C0315,R4,Marketing Associate,Job board,58,1,1,0,0,0
C0316,R3,Data Analyst,LinkedIn,50,1,1,0,0,0
C0317,R5,Data Analyst,Job board,59,1,0,0,0,0
C0318,R1,Marketing Associate,Job board,37,1,0,0,0,0
C0319,R4,Data Analyst,Job board,43,1,1,0,0,0
C0320,R5,Software Engineer,LinkedIn,74,1,1,1,0,0
C0321,R5,HR Specialist,Job board,58,1,1,1,0,0
C0322,R4,Data Analyst,Careers page,54,1,1,0,0,0
C0323,R1,Software Engineer,LinkedIn,76,1,1,1,0,0
C0324,R3,Software Engineer,LinkedIn,57,1,1,1,1,0
C0325,R1,Data Analyst,Careers page,47,1,1,1,0,0
C0326,R1,Data Analyst,LinkedIn,79,1,0,0,0,0
C0327,R5,Software Engineer,LinkedIn,76,1,1,1,0,0
C0328,R1,Data Analyst,Job board,63,1,0,0,0,0
C0329,R4,HR Specialist,LinkedIn,68,1,1,1,0,0
C0330,R5,Data Analyst,LinkedIn,75,1,1,0,0,0
C0331,R2,HR Specialist,LinkedIn,36,1,0,0,0,0
C0332,R4,HR Specialist,Job board,42,1,1,1,0,0
C0333,R3,HR Specialist,Job board,61,1,1,0,0,0
C0334,R5,Software Engineer,Job board,53,1,0,0,0,0
C0335,R4,HR Specialist,Careers page,61,1,1,1,0,0
C0336,R2,Data Analyst,Job board,69,1,1,0,0,0
C0337,R3,Software Engineer,Job board,66,1,1,0,0,0
C0338,R3,HR Specialist,LinkedIn,83,1,1,1,0,0
C0339,R3,Software Engineer,LinkedIn,65,1,1,0,0,0
C0340,R5,Software Engineer,LinkedIn,82,1,1,1,0,0
C0341,R4,HR Specialist,Job board,46,1,0,0,0,0
C0342,R1,HR Specialist,Job board,53,1,0,0,0,0
C0343,R2,Software Engineer,LinkedIn,56,1,0,0,0,0
C0344,R1,Software Engineer,LinkedIn,89,1,1,1,0,0
C0345,R2,HR Specialist,LinkedIn,59,1,1,1,0,0
C0346,R4,Software Engineer,LinkedIn,60,1,1,1,1,1
C0347,R5,Software Engineer,LinkedIn,63,1,1,0,0,0
C0348,R4,Data Analyst,LinkedIn,76,1,1,1,0,0
C0349,R1,Data Analyst,LinkedIn,33,1,0,0,0,0
C0350,R2,Data Analyst,LinkedIn,65,1,1,0,0,0
C0351,R1,Marketing Associate,Careers page,41,1,1,0,0,0
C0352,R5,Data Analyst,LinkedIn,70,1,0,0,0,0
C0353,R2,HR Specialist,LinkedIn,54,1,1,1,0,0
C0354,R1,Data Analyst,LinkedIn,52,1,1,0,0,0
C0355,R2,Software Engineer,LinkedIn,71,1,1,0,0,0
C0356,R5,HR Specialist,Job board,63,1,1,1,0,0
C0357,R3,HR Specialist,Job board,46,1,1,1,0,0
C0358,R4,Marketing Associate,LinkedIn,75,1,1,0,0,0
C0359,R4,Data Analyst,Careers page,56,1,1,1,0,0
C0360,R5,Software Engineer,Careers page,63,1,0,0,0,0
C0361,R1,Software Engineer,LinkedIn,81,1,0,0,0,0
C0362,R1,Data Analyst,Job board,57,1,0,0,0,0
C0363,R5,Data Analyst,LinkedIn,70,1,1,0,0,0
C0364,R4,Data Analyst,Careers page,72,1,1,0,0,0
C0365,R4,HR Specialist,LinkedIn,63,1,1,1,0,0
C0366,R3,Software Engineer,Job board,65,1,1,0,0,0
C0367,R1,HR Specialist,LinkedIn,72,1,1,1,0,0
C0368,R1,Marketing Associate,Careers page,74,1,1,0,0,0
C0369,R4,Data Analyst,Careers page,50,1,1,1,0,0
C0370,R2,Data Analyst,Careers page,62,1,0,0,0,0
C0371,R4,HR Specialist,LinkedIn,89,1,1,1,1,1
C0372,R4,Data Analyst,LinkedIn,76,1,1,0,0,0
C0373,R5,Data Analyst,LinkedIn,69,1,1,0,0,0
C0374,R2,Data Analyst,LinkedIn,93,1,1,1,1,1
C0375,R2,Software Engineer,LinkedIn,72,1,1,0,0,0
C0376,R5,Software Engineer,Job board,72,1,0,0,0,0
C0377,R3,Data Analyst,LinkedIn,72,1,0,0,0,0
C0378,R1,Data Analyst,Careers page,36,1,0,0,0,0
C0379,R4,Data Analyst,Job board,59,1,0,0,0,0
C0380,R5,Marketing Associate,Job board,47,1,0,0,0,0
C0381,R2,HR Specialist,Careers page,70,1,1,0,0,0
C0382,R3,HR Specialist,Job board,54,1,0,0,0,0
C0383,R4,Marketing Associate,Careers page,58,1,1,1,0,0
C0384,R3,HR Specialist,LinkedIn,56,1,1,1,0,0
C0385,R2,Data Analyst,LinkedIn,74,1,1,1,1,0
C0386,R5,Marketing Associate,Careers page,54,1,0,0,0,0
C0387,R1,Software Engineer,LinkedIn,62,1,1,0,0,0
C0388,R4,Data Analyst,Job board,70,1,0,0,0,0
C0389,R1,HR Specialist,LinkedIn,73,1,1,1,0,0
C0390,R1,Software Engineer,Job board,41,1,1,0,0,0
C0391,R5,Data Analyst,Job board,52,1,0,0,0,0
C0392,R4,Marketing Associate,LinkedIn,71,1,1,1,1,0
C0393,R3,Data Analyst,LinkedIn,64,1,0,0,0,0
C0394,R3,Data Analyst,LinkedIn,61,1,1,0,0,0
C0395,R1,Data Analyst,Job board,61,1,1,0,0,0
C0396,R1,Data Analyst,LinkedIn,73,1,1,1,0,0
C0397,R4,Software Engineer,LinkedIn,97,1,1,0,0,0
C0398,R1,HR Specialist,Job board,35,1,0,0,0,0
C0399,R1,HR Specialist,LinkedIn,57,1,1,1,0,0
C0400,R5,Data Analyst,LinkedIn,41,1,1,0,0,0
C0401,R5,Marketing Associate,LinkedIn,81,1,1,1,0,0
C0402,R1,HR Specialist,Job board,69,1,1,1,0,0
C0403,R5,Software Engineer,LinkedIn,81,1,1,0,0,0
C0404,R2,Data Analyst,Careers page,82,1,1,1,0,0
C0405,R4,Software Engineer,LinkedIn,82,1,1,0,0,0
C0406,R4,HR Specialist,Job board,37,1,0,0,0,0
C0407,R3,Marketing Associate,LinkedIn,85,1,1,1,1,1
C0408,R1,Data Analyst,LinkedIn,51,1,1,1,0,0
C0409,R4,Data Analyst,LinkedIn,50,1,1,0,0,0
C0410,R3,Software Engineer,Job board,59,1,0,0,0,0
C0411,R4,HR Specialist,Job board,59,1,0,0,0,0
C0412,R5,HR Specialist,Careers page,22,1,0,0,0,0
C0413,R1,Software Engineer,Job board,40,1,0,0,0,0
C0414,R2,Data Analyst,Job board,52,1,0,0,0,0
C0415,R4,Marketing Associate,LinkedIn,68,1,1,0,0,0
C0416,R1,HR Specialist,LinkedIn,60,1,0,0,0,0
C0417,R5,Software Engineer,LinkedIn,85,1,1,0,0,0
C0418,R4,Software Engineer,LinkedIn,84,1,0,0,0,0
C0419,R2,HR Specialist,LinkedIn,81,1,1,0,0,0
C0420,R1,Software Engineer,Careers page,56,1,1,1,1,1
C0421,R2,Data Analyst,LinkedIn,63,1,1,0,0,0
C0422,R3,HR Specialist,Job board,41,1,1,1,0,0
C0423,R2,Software Engineer,LinkedIn,58,1,0,0,0,0
C0424,R4,Data Analyst,LinkedIn,53,1,1,0,0,0
C0425,R5,HR Specialist,LinkedIn,63,1,1,0,0,0
C0426,R2,Data Analyst,Careers page,61,1,1,0,0,0
C0427,R4,Software Engineer,LinkedIn,80,1,1,1,1,0
C0428,R4,Marketing Associate,LinkedIn,77,1,1,0,0,0
C0429,R1,HR Specialist,LinkedIn,58,1,0,0,0,0
C0430,R5,HR Specialist,LinkedIn,60,1,1,0,0,0
C0431,R5,HR Specialist,Job board,60,1,1,1,0,0
C0432,R2,Data Analyst,Job board,46,1,1,0,0,0
C0433,R4,HR Specialist,Careers page,83,1,1,0,0,0
C0434,R5,Data Analyst,Job board,23,1,0,0,0,0
C0435,R1,Software Engineer,Job board,55,1,1,1,1,1
C0436,R2,Data Analyst,Job board,62,1,0,0,0,0
C0437,R1,HR Specialist,Careers page,57,1,0,0,0,0
